video_id,description,view_count,like_count,comment_count,share_count,upload_date,hashtags,url,scraped_at,video_type
7386230432632818976,#CapCut #10k #teamwork #foryoupage #fyp ,614,112,18,0,2024-06-30T09:46:34+00:00,"[""CapCut"", ""10k"", ""teamwork"", ""foryoupage"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7386230432632818976,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
7386042525821209888,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7386042525821209888,2026-05-26T14:28:13.474941+00:00,Unknown
7385631385060379937,"motivate me to keep posting on tiktok, I am losing hope😭 #fyp #foryou #teamwork #followtrain #10k #follow #growmyaccount ",855,163,90,2,2024-06-28T19:01:54+00:00,"[""fyp"", ""foryou"", ""teamwork"", ""followtrain"", ""10k"", ""follow"", ""growmyaccount""]",https://www.tiktok.com/@ichbinnelo/video/7385631385060379937,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
7384919620890660128,let's help each other out guys 🙏🙏 #10k #followtrain #teamwork #foryou #fyp ,25600,1237,776,45,2024-06-26T20:59:56+00:00,"[""10k"", ""followtrain"", ""teamwork"", ""foryou"", ""fyp""]",https://www.tiktok.com/@ichbinnelo/video/7384919620890660128,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
7383466914456030497,lets follow each other to hit 10k #CapCut #foryou #growmyaccount #teamwork #follow #university #studytok ,663,107,15,0,2024-06-22T23:02:49+00:00,"[""CapCut"", ""foryou"", ""growmyaccount"", ""teamwork"", ""follow"", ""university"", ""studytok""]",https://www.tiktok.com/@ichbinnelo/video/7383466914456030497,2026-05-26T22:41:16.850279+00:00,Student Life
7382532267417013537,tiktok please show my videos to people looking to grow their account 🙏 😔 #10k #followtrain #teamwork #foryoupage #growmyaccount #fypage ,718,104,20,0,2024-06-20T10:35:49+00:00,"[""10k"", ""followtrain"", ""teamwork"", ""foryoupage"", ""growmyaccount"", ""fypage""]",https://www.tiktok.com/@ichbinnelo/video/7382532267417013537,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
7381686235418381600,another day of trying 10k follow trend. I hope we get there some day. #followback #growmyaccount #10k #teamwork #followtrain #fypage #foryoupage ,1104,175,56,1,2024-06-18T03:52:54+00:00,"[""followback"", ""growmyaccount"", ""10k"", ""teamwork"", ""followtrain"", ""fypage"", ""foryoupage""]",https://www.tiktok.com/@ichbinnelo/video/7381686235418381600,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
7379497466858720544,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7379497466858720544,2026-05-26T14:28:13.521137+00:00,Unknown
7378816424594197792,tiktok please show my video to more than 200 people #CapCut #foryoupage #foryou #for #fyp #fypage #10k #teamwork #followtrain ,515,105,21,7,2024-06-10T10:16:30+00:00,"[""CapCut"", ""foryoupage"", ""foryou"", ""for"", ""fyp"", ""fypage"", ""10k"", ""teamwork"", ""followtrain""]",https://www.tiktok.com/@ichbinnelo/video/7378816424594197792,2026-05-26T22:41:16.850279+00:00,Engagement / Growth
7377674933075316001,drop a comment for a follow back #CapCut #fyp #foryou #foryoupage #followtrain #studentlife #followback #payoffdebt #10k #teamwork ,610,104,13,4,2024-06-07T08:26:52+00:00,"[""CapCut"", ""fyp"", ""foryou"", ""foryoupage"", ""followtrain"", ""studentlife"", ""followback"", ""payoffdebt"", ""10k"", ""teamwork""]",https://www.tiktok.com/@ichbinnelo/video/7377674933075316001,2026-05-26T22:41:16.850279+00:00,Personal Finance
7377119388924726560,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7377119388924726560,2026-05-26T14:28:17.496607+00:00,Unknown
7376743225710628128,drop a comment so that others can follow you. #payoffdebt #10k #followtrain #fyp #followback #growmyaccount #followtrain #studentlife #foryoupage ,855,177,66,1,2024-06-04T20:11:21+00:00,"[""payoffdebt"", ""10k"", ""followtrain"", ""fyp"", ""followback"", ""growmyaccount"", ""followtrain"", ""studentlife"", ""foryoupage""]",https://www.tiktok.com/@ichbinnelo/video/7376743225710628128,2026-05-26T22:41:16.850279+00:00,Personal Finance
7376282035897388321,,0,0,0,0,,[],https://www.tiktok.com/@ichbinnelo/video/7376282035897388321,2026-05-26T14:28:17.512607+00:00,Unknown
